hpsa_name,hpsa_id,designation_type,hpsa_score,hpsa_status,hpsa_fte_short,hpsa_designation_population,hpsa_formal_ratio,common_state_fips,common_county_fips,common_county_name,common_state_abbrev,hpsa_type_code
Douglas County Public Health Services Group Inc,129999292Z,Federally Qualified Health Center,21,Designated,,125113.0,,29,29067,"Douglas County, MO",MO,FQHC
QUINCY MEDICAL GROUP - CANTON,129999292V,Rural Health Clinic,14,Designated,,33090.0,,29,29111,"Lewis County, MO",MO,RHC
Swope Health Services,129999292T,Federally Qualified Health Center,22,Designated,,196701.0,,29,29095,"Jackson County, MO",MO,FQHC
CROSS TRAILS MEDICAL CENTER,129999292R,Federally Qualified Health Center,22,Designated,,66567.0,,29,29031,"Cape Girardeau County, MO",MO,FQHC
AFFINIA HEALTHCARE,129999292Q,Federally Qualified Health Center,24,Designated,,178275.0,,29,29510,"St. Louis City, MO",MO,FQHC
FAMILY CARE HEALTH CENTERS,129999292P,Federally Qualified Health Center,24,Designated,,149667.0,,29,29510,"St. Louis City, MO",MO,FQHC
CARESTL HEALTH,129999292K,Federally Qualified Health Center,24,Designated,,146759.0,,29,29510,"St. Louis City, MO",MO,FQHC
BETTY JEAN KERR PEOPLE'S HEALTH CENTERS,129999292J,Federally Qualified Health Center,23,Designated,,164716.0,,29,29510,"St. Louis City, MO",MO,FQHC
FCC PRIMARY CARE CLINIC,1298708197,Rural Health Clinic,20,Designated,,41530.0,,29,29069,"Dunklin County, MO",MO,RHC
LI-Ripley County,1298686715,HPSA Population,18,Designated,0.0000,5244.0,,29,29181,"Ripley County, MO",MO,Hpsa Pop
FAMILY HEALTH CARE - POINTE BASSE,1298659341,Rural Health Clinic,16,Designated,,27765.0,,29,29186,"Ste. Genevieve County, MO",MO,RHC
BOTHWELL OB/GYN ASSOCIATES,1298591008,Rural Health Clinic,16,Designated,,45219.0,,29,29159,"Pettis County, MO",MO,RHC
SSM HEALTH MEDICAL GROUP FAMILY MEDICINE,1298571580,Rural Health Clinic,16,Designated,,38011.0,,29,29135,"Moniteau County, MO",MO,RHC
