tract_fips,pcp_count,fqhc_count,urgent_care_count,rural_health_clinic_count,primary_care_clinic_count,community_health_center_count,total_providers
01001020100,0.2,0.0,0.0,0.0,0.0,0.0,0.3
01001020200,0.1,0.0,0.0,0.0,0.0,0.0,0.1
01001020300,0.1,0.0,0.0,0.0,0.0,0.0,0.1
01001020400,5.4,0.0,0.3,0.0,0.9,0.0,6.6
01001020501,4.5,0.0,0.3,0.0,0.8,0.0,5.6
01001020502,1.9,0.0,0.1,0.0,0.3,0.0,2.3
01001020503,2.7,0.0,0.2,0.0,0.5,0.0,3.4
01001020600,0.2,0.0,0.0,0.0,0.0,0.0,0.2
01001020700,0.6,0.0,0.0,0.0,0.0,0.0,0.6
01001020801,3.1,0.0,0.0,0.0,0.2,0.0,3.3
01001020803,3.2,0.0,0.0,0.0,0.2,0.0,3.4
01001020804,12.2,0.0,0.8,0.0,2.1,0.0,15.1
01001020805,7.2,0.0,0.4,0.1,1.1,0.0,8.9
01001020901,2.4,0.0,0.0,0.3,0.0,0.0,2.7
01001020902,2.8,0.0,0.0,0.0,0.2,0.0,3.0
01001021000,2.4,0.0,0.0,0.0,0.2,0.0,2.6
01001021100,7.1,1.3,0.3,0.3,0.2,0.0,9.1
01003010100,6.1,0.5,0.1,0.3,0.4,0.1,7.6
01003010200,8.1,0.4,0.2,0.4,0.8,0.0,10.0
01003010300,16.0,0.6,0.3,0.6,1.8,0.0,19.2
01003010400,24.5,1.1,0.9,0.7,2.3,0.0,29.6
01003010500,0.7,0.0,0.0,0.0,0.1,0.0,0.9
01003010600,0.8,0.0,0.0,0.0,0.1,0.0,1.0
01003010704,5.8,0.0,0.1,0.0,0.3,0.0,6.2
01003010706,2.9,0.0,0.0,0.0,0.4,0.0,3.3
01003010707,3.4,0.0,0.0,0.0,0.4,0.0,3.8
01003010708,22.6,0.0,0.1,0.0,2.2,0.0,24.9
01003010709,47.4,0.0,0.7,0.0,2.0,0.0,50.2
01003010710,8.8,0.0,0.1,0.0,0.5,0.0,9.5
01003010711,2.5,0.0,0.0,0.0,0.1,0.0,2.7
01003010800,13.5,0.0,0.2,0.0,0.6,0.0,14.3
01003010903,2.8,0.3,0.0,0.0,0.3,0.0,3.4
01003010904,6.5,0.2,0.4,0.0,0.5,0.0,7.5
01003010906,1.1,0.0,0.1,0.0,0.1,0.0,1.3
01003010907,1.6,0.0,0.0,0.0,0.0,0.0,1.7
01003010908,1.0,0.0,0.0,0.0,0.0,0.0,1.0
01003011000,4.7,0.0,0.0,0.0,0.9,0.0,5.6
01003011102,40.3,0.0,0.7,0.0,0.5,0.0,41.5
01003011103,14.0,0.0,0.2,0.0,0.2,0.0,14.4
01003011104,16.0,0.0,0.3,0.0,0.2,0.0,16.4
01003011201,10.9,0.0,0.2,0.0,0.1,0.0,11.3
01003011202,12.0,0.0,0.2,0.0,0.1,0.0,12.4
01003011300,58.3,0.0,1.0,0.0,0.7,0.0,60.0
01003011409,16.5,0.4,0.0,0.1,0.7,0.0,17.8
01003011410,47.2,1.2,0.0,0.4,1.6,0.0,50.5
01003011411,15.0,0.2,0.2,0.1,0.5,0.0,16.1
01003011412,6.6,0.0,0.2,0.0,0.2,0.0,6.9
01003011413,6.2,0.0,0.2,0.0,0.2,0.0,6.6
01003011414,2.3,0.0,0.4,0.0,0.4,0.0,3.0
01003011415,2.3,0.0,0.4,0.0,0.4,0.0,3.1
01003011416,3.9,0.0,0.1,0.0,0.1,0.0,4.1
01003011417,4.9,0.0,0.8,0.0,0.8,0.0,6.4
01003011418,5.1,0.0,0.5,0.0,0.5,0.0,6.0
01003011419,13.8,0.0,0.4,0.0,0.4,0.0,14.5
01003011501,18.0,0.5,0.0,0.2,0.6,0.0,19.3
01003011503,11.6,0.3,0.0,0.1,0.4,0.0,12.5
01003011504,12.2,0.3,0.0,0.1,0.4,0.0,13.0
01003011601,11.4,0.0,0.0,0.0,1.0,0.0,12.4
01003011603,1.6,0.0,0.0,0.0,0.0,0.0,1.6
01003011604,0.8,0.0,0.0,0.0,0.0,0.0,0.8
01005950100,9.7,0.4,0.4,1.2,0.8,0.0,12.5
01005950200,3.7,0.5,0.0,0.0,0.0,0.0,4.3
01005950300,3.1,0.2,0.0,1.8,0.9,0.0,6.0
01005950400,3.3,0.0,0.0,0.2,0.1,0.0,3.7
01005950500,9.1,0.5,0.3,1.0,0.7,0.0,11.6
01005950600,1.8,0.2,0.0,0.1,0.1,0.0,2.2
01005950700,0.5,0.0,0.0,0.1,0.0,0.0,0.6
01005950800,0.4,0.0,0.0,0.1,0.0,0.0,0.6
01005950900,0.5,0.0,0.0,0.1,0.0,0.0,0.7
01007010001,2.9,0.0,0.0,0.6,0.6,0.0,4.1
01007010005,2.0,0.0,0.0,0.1,0.1,0.0,2.2
01007010006,1.3,0.0,0.0,0.3,0.3,0.0,1.9
01007010007,15.9,1.4,0.3,0.6,0.5,0.0,18.6
01007010008,15.7,1.4,0.3,0.5,1.0,0.0,18.9
01007010009,0.5,0.0,0.0,0.0,0.0,0.0,0.6
01007010010,4.6,0.4,0.1,0.2,0.1,0.0,5.3
01007010011,12.2,1.0,0.2,0.4,0.2,0.0,14.0
01009050103,6.8,0.2,0.2,0.6,0.6,0.0,8.4
01009050104,6.2,0.2,0.5,0.6,0.6,0.0,8.2
01009050105,8.7,0.2,0.2,0.6,0.8,0.1,10.7
01009050106,2.0,0.1,0.1,0.2,0.2,0.0,2.5
01009050107,8.3,0.2,0.2,0.7,0.8,0.0,10.2
01009050200,3.9,0.1,1.3,0.8,0.3,0.0,6.4
01009050301,4.4,0.1,0.1,0.1,0.1,0.2,4.9
01009050302,6.4,0.1,0.1,0.4,0.5,0.2,7.8
01009050400,8.1,0.4,0.6,0.8,0.7,0.0,10.5
01009050501,0.8,0.0,0.3,0.3,0.3,0.0,1.8
01009050502,0.6,0.0,0.2,0.1,0.1,0.0,1.0
01009050601,1.3,0.0,0.1,0.1,0.0,0.0,1.6
01009050603,1.3,0.0,0.1,0.1,0.0,0.0,1.5
01009050604,2.0,0.0,0.2,0.2,0.0,0.0,2.3
01009050701,1.0,0.0,0.0,0.0,0.0,0.0,1.1
01009050702,1.0,0.0,0.4,0.2,0.0,0.0,1.6
01011952100,0.5,0.2,0.0,0.2,0.2,0.0,1.1
01011952201,1.2,0.0,0.0,0.6,0.2,0.0,2.0
01011952202,1.2,0.0,0.0,0.6,0.2,0.0,2.1
01011952500,8.2,0.0,0.0,1.1,0.5,0.0,9.8
01013952700,2.7,0.1,0.1,0.0,0.2,0.0,3.1
01013952800,0.1,0.0,0.0,0.0,0.0,0.0,0.1
01013952900,1.4,0.0,0.1,0.0,0.1,0.0,1.6
01013953000,6.0,0.0,0.2,0.0,0.5,0.0,6.8
01013953100,0.8,0.0,0.0,0.0,0.1,0.0,0.9
01013953200,8.2,0.1,0.3,0.1,0.7,0.0,9.4
01013953300,5.6,0.4,0.1,0.8,0.3,0.0,7.2
01013953400,1.4,0.2,0.0,0.5,0.0,0.0,2.2
01013953500,2.7,0.3,0.1,0.4,0.1,0.0,3.6
01015000200,3.9,0.1,0.0,0.0,0.2,0.0,4.2
01015000300,0.9,0.0,0.0,0.0,0.0,0.1,1.0
01015000400,3.3,0.0,0.1,0.0,0.1,0.2,3.7
01015000500,0.8,0.0,0.0,0.0,0.0,0.0,0.9
01015000600,2.2,0.0,0.1,0.0,0.1,0.1,2.5
01015000700,6.5,0.0,0.0,0.0,0.2,0.0,6.7
01015000800,1.5,0.0,0.0,0.0,0.1,0.0,1.6
01015000900,7.1,0.1,0.0,0.0,0.4,0.0,7.6
01015001000,9.3,0.1,0.0,0.0,0.5,0.0,10.0
01015001101,14.1,0.1,0.2,0.0,0.9,0.0,15.3
01015001102,1.6,0.0,0.0,0.0,0.1,0.0,1.7
01015001103,5.9,0.0,0.1,0.0,0.4,0.0,6.5
01015001201,2.9,0.0,0.1,0.0,0.2,0.0,3.2
01015001202,8.6,0.0,0.2,0.0,0.4,0.2,9.6
01015001300,1.9,0.0,0.1,0.0,0.1,0.1,2.1
01015001400,6.9,0.0,0.2,0.0,0.2,0.4,7.7
01015001501,5.6,0.0,0.2,0.0,0.2,0.3,6.3
01015001502,1.4,0.0,0.1,0.2,0.1,0.0,1.8
01015001600,2.4,0.0,0.1,0.0,0.2,0.1,2.9
01015001700,0.6,0.0,0.0,0.0,0.4,0.0,1.0
01015001801,1.6,0.0,0.0,0.0,0.3,0.0,1.9
01015001802,1.5,0.0,0.0,0.0,0.0,0.0,1.6
01015002001,41.0,0.7,0.0,0.1,2.2,0.0,44.0
01015002002,48.8,0.8,0.0,0.0,2.6,0.0,52.3
01015002101,1.1,0.0,0.0,0.0,0.1,0.0,1.2
01015002102,1.7,0.0,0.0,0.0,0.2,0.0,1.9
01015002104,1.0,0.0,0.0,0.0,0.1,0.0,1.1
01015002105,1.1,0.0,0.0,0.0,0.1,0.0,1.2
01015002200,1.3,0.0,0.0,0.1,0.1,0.0,1.4
01015002300,0.8,0.0,0.0,0.1,0.0,0.0,0.9
01015002400,7.2,0.0,0.0,0.1,0.7,0.0,7.9
01015002502,6.0,0.0,0.0,0.0,0.4,0.0,6.4
01015002503,2.8,0.0,0.0,0.0,0.1,0.0,3.0
01015002504,1.7,0.0,0.0,0.0,0.0,0.0,1.7
01015002600,2.1,0.0,0.1,0.2,0.0,0.0,2.3
01015981901,2.3,0.0,0.1,0.0,0.1,0.1,2.6
01015981902,1.7,0.0,0.0,0.0,0.0,0.1,1.8
01017953800,3.7,0.6,0.0,1.2,0.0,0.2,5.7
01017953900,1.2,0.0,0.0,0.0,0.0,0.4,1.6
01017954001,8.4,0.7,0.3,0.0,0.2,0.1,9.5
01017954002,1.1,0.9,0.0,0.0,0.0,0.1,2.1
01017954200,0.8,0.0,0.0,0.0,0.0,0.3,1.0
01017954300,31.5,0.0,1.1,0.6,0.8,0.2,34.2
01017954600,1.4,0.0,0.1,0.1,0.1,0.0,1.6
01017954700,5.3,0.0,0.2,0.5,0.2,0.0,6.3
01017954800,0.1,0.0,0.0,0.0,0.0,0.0,0.2
01019955701,5.0,0.5,0.0,0.0,0.0,0.0,5.5
01019955702,1.0,0.2,0.0,0.0,0.0,0.0,1.2
01019955801,8.7,0.0,0.7,1.0,0.8,0.1,11.4
01019955802,5.3,0.4,0.4,0.3,0.4,0.1,6.9
01019955900,16.3,0.1,0.6,1.2,0.8,0.3,19.3
01019956000,4.1,0.0,0.3,0.7,0.5,0.0,5.6
01019956101,9.4,0.0,0.7,1.5,1.1,0.0,12.8
01019956102,6.6,0.0,0.5,1.1,0.7,0.0,8.9
01021060101,6.7,0.2,0.4,0.4,0.2,0.0,7.8
01021060103,5.7,0.2,0.3,0.3,0.2,0.0,6.6
01021060104,1.9,0.1,0.1,0.1,0.1,0.0,2.2
01021060300,1.4,0.0,0.0,0.0,0.0,0.0,1.5
01021060401,2.7,0.1,0.1,0.4,0.1,0.0,3.4
01021060403,4.3,0.0,0.2,0.0,0.3,0.0,4.8
01021060404,1.7,0.2,0.0,0.0,0.0,0.0,1.9
01021060500,5.9,0.0,0.0,0.1,0.0,0.0,6.0
01021060600,15.3,0.4,0.8,1.3,0.4,0.0,18.2
01021060701,5.0,0.1,0.3,0.3,0.1,0.0,5.9
01023956700,0.1,0.0,0.0,0.1,0.0,0.0,0.2
01023956800,7.6,0.9,0.0,2.5,0.0,0.0,11.0
01023956900,4.3,1.0,0.0,1.4,0.0,0.0,6.8
01023957000,0.3,0.0,0.0,0.2,0.0,0.0,0.5
01025957500,3.6,1.4,0.0,1.2,1.0,0.0,7.3
01025957601,4.6,0.4,0.0,0.4,0.0,0.0,5.4
01025957603,1.2,0.1,0.0,0.1,0.0,0.0,1.4
01025957604,2.4,0.2,0.0,0.2,0.0,0.0,2.8
01025957700,0.7,0.1,0.0,0.1,0.0,0.0,0.8
01025957800,4.4,0.8,0.0,0.9,0.0,0.0,6.1
01025957901,3.0,0.0,0.0,1.8,0.0,0.0,4.8
01025957902,0.8,0.0,0.0,0.5,0.0,0.0,1.4
01025958003,4.5,0.1,0.0,2.5,0.0,0.0,7.2
01027958900,5.2,0.0,0.0,0.1,0.0,0.0,5.4
01027959000,3.9,0.3,0.0,0.1,0.0,0.0,4.4
01027959100,3.8,0.5,0.0,0.5,0.0,0.0,4.8
01027959200,10.1,0.7,0.2,0.7,0.6,0.4,12.7
01029959500,1.2,0.0,0.0,0.2,0.0,0.0,1.5
01029959600,1.2,0.2,0.0,0.2,0.0,0.0,1.7
01029959700,2.3,0.5,0.0,0.5,0.0,0.0,3.2
01029959800,3.0,0.2,0.0,0.2,0.0,0.0,3.4
01031010100,2.9,0.1,0.0,0.0,0.5,0.0,3.5
01031010200,2.0,0.0,0.0,0.0,0.1,0.0,2.1
01031010300,9.5,0.1,0.1,0.1,0.5,0.0,10.4
01031010400,0.7,0.0,0.0,0.0,0.7,0.0,1.4
01031010500,0.8,0.0,0.0,0.0,0.6,0.0,1.5
01031010600,0.8,0.0,0.0,0.1,0.1,0.0,1.1
01031010700,11.4,0.1,0.1,0.2,0.7,0.0,12.6
01031010800,18.0,0.2,0.2,0.2,0.9,0.0,19.7
01031010900,5.4,0.1,0.1,0.1,0.3,0.0,5.9
01031011000,7.7,0.1,0.1,0.1,0.4,0.0,8.4
01031011100,0.9,0.0,0.0,0.0,0.0,0.0,1.0
01031011203,3.5,0.0,0.0,0.0,0.2,0.0,3.8
01031011204,7.4,0.1,0.1,0.1,0.4,0.0,8.1
01031011205,1.5,0.0,0.0,0.0,0.1,0.0,1.6
01031011206,1.9,0.0,0.0,0.0,0.1,0.0,2.0
01031011300,5.3,0.1,0.1,0.1,0.3,0.0,5.7
